vendor,description,category,date,amount
Shell #164,Fuel top-up student #2207,Fuel,2025-09-07,59.51
Petro-Canada #407,Premium Gas Purchase Promo #4846,Fuel,2025-07-08,24.79
Shoppers Drug Mart,Personal Care Items,Pharmacy,2025-04-26,30.84
Shoppers Drug Mart,OTC medicine,Pharmacy,2025-06-15,11.94
Pharma Plus #607,OTC medicine,Pharmacy,2025-02-02,75.8
Rexall,OTC medicine txn #7646,Pharmacy,2025-03-14,84.81
Guardian Pharmacy,OTC medicine,Pharmacy,2025-06-27,47.54
Shoppers Drug Mart,Personal  care items,Pharmacy,2025-09-13,45.92
Rexall,Vitamins and essentials London ON,Pharmacy,2025-02-09,49.5
Shoppers Drug Mart #305,Vitamins and essentials Campus invoice #7004,Pharmacy,2025-08-21,92.65
Rexall,Vitamins and essentials ref #8582,Pharmacy,2025-02-03,107.94
Pharma Plus #146,Vitamins  and  essentials  Campus branch #1470,Pharmacy,2025-02-11,123.4
Guardian Pharmacy,Vitamins  And  Essentials,Pharmacy,2025-09-10,5.99
Pharma Plus,Personal care items txn #9539,Pharmacy,2025-05-29,49.76
Guardian Pharmacy,Vitamins And Essentials,Pharmacy,2025-01-31,127.62
Guardian Pharmacy #660,Personal Care Items,Pharmacy,2025-05-28,13.75
Rexall,Personal care items,Pharmacy,2025-08-04,71.99
Rexall #618,Vitamins And Essentials Store #214,Pharmacy,2025-01-19,48.95
Shoppers Drug Mart,Vitamins and essentials Store #214,Pharmacy,2025-05-13,14.05
Pharma Plus #653,otc medicine txn #2501,Pharmacy,2025-08-05,65.53
Pharma Plus,Personal care items,Pharmacy,2025-02-02,8.39
Shoppers Drug Mart,OTC medicine,Pharmacy,2025-02-15,122.22
Apple Services,Movie  Tickets  Online,Entertainment,2025-06-23,115.18
PlayStation Store,Game purchase receipt #2813,Entertainment,2025-04-16,24.27
Netflix,Game purchase Masonville promo #6813,Entertainment,2025-03-31,96.22
PlayStation Store,Subscription  Renewal Online,Entertainment,2025-08-20,25.63
Apple Services,Streaming  plan  order #3252,Entertainment,2025-03-16,81.13
Steam,streaming plan masonville txn #1330,Entertainment,2025-05-06,103.27
PlayStation Store #786,Streaming plan London ON,Entertainment,2025-07-28,131.93
Steam,game  purchase,Entertainment,2025-06-06,133.88
Spotify,Game  Purchase  Store #214 Ref #9530,Entertainment,2025-03-30,23.49
Apple Services,Streaming plan,Entertainment,2025-07-19,116.72
Spotify #769,Subscription  renewal  Campus invoice #6638,Entertainment,2025-06-24,60.74
Spotify,Game purchase receipt #9814,Entertainment,2025-10-06,107.82
Netflix #418,movie tickets online promo #9971,Entertainment,2025-06-30,66.91
Cineplex #401,Streaming plan,Entertainment,2025-08-30,138.75
PlayStation Store #560,Movie Tickets Campus,Entertainment,2025-04-11,136.05
PlayStation Store,Streaming plan receipt #6962,Entertainment,2025-09-02,68.36
PlayStation Store,Game purchase Online,Entertainment,2025-06-20,66.73
Apple Services,Streaming  plan Masonville,Entertainment,2025-09-04,87.6
Spotify,Movie  tickets branch #3295,Entertainment,2025-09-11,128.76
PlayStation Store,Movie tickets Campus ref #9624,Entertainment,2025-05-01,26.49
LA Fitness #451,Gym membership,Fitness,2025-03-02,154.28
Anytime Fitness #164,Gym membership Store #214,Fitness,2025-04-19,94.32
Planet Fitness,Monthly  dues,Fitness,2025-03-16,45.61
Planet Fitness #894,Gym  membership  Campus,Fitness,2025-04-24,202.02
Planet Fitness #591,Drop-in class London ON,Fitness,2025-02-09,122.18
LA Fitness #545,Drop-in  class  Campus  txn #9411,Fitness,2025-04-15,175.7
Anytime Fitness #892,Drop-In Class Invoice #2273,Fitness,2025-10-04,108.49
YMCA,drop-in class,Fitness,2025-05-29,210.42
GoodLife Fitness,Monthly dues Campus,Fitness,2025-02-20,74.45
GoodLife Fitness,Gym membership,Fitness,2025-02-17,79.43
GoodLife Fitness,Monthly  dues  Downtown order #4649,Fitness,2025-05-20,214.77
Anytime Fitness,Gym  Membership,Fitness,2025-04-21,129.12
YMCA,Drop-In Class Store #214,Fitness,2025-05-14,29.35
Anytime Fitness #399,Gym membership ref #7163,Fitness,2025-02-03,55.72
Planet Fitness #660,Drop-In Class,Fitness,2025-07-10,82.64
LA Fitness #398,gym  membership,Fitness,2025-09-27,97.52
YMCA #200,Monthly dues Downtown,Fitness,2025-10-04,134.86
Anytime Fitness,Monthly dues Masonville ref #1474,Fitness,2025-06-29,161.75
Anytime Fitness,drop-in class,Fitness,2025-05-05,20.68
Planet Fitness,Gym membership,Fitness,2025-03-25,17.08
RBC Insurance,Monthly  premium  Richmond  St,Insurance,2025-03-24,64.92
Intact Insurance,Policy payment Richmond St,Insurance,2025-02-22,162.53
RBC Insurance #441,Auto insurance branch #4562,Insurance,2025-02-25,18.08
Desjardins Insurance,Policy payment,Insurance,2025-08-13,132.86
TD Insurance,Auto Insurance Masonville,Insurance,2025-02-15,18.22
TD Insurance,Policy payment Store #214,Insurance,2025-03-08,27.59
TD Insurance,Auto  insurance Downtown promo #2160,Insurance,2025-02-09,61.43
Desjardins Insurance #609,Monthly premium Downtown ref #9485,Insurance,2025-08-09,202.88
Intact Insurance,Policy payment order #5553,Insurance,2025-03-14,79.88
TD Insurance,Policy  payment Campus invoice #1838,Insurance,2025-09-10,213.7
Intact Insurance,Auto  Insurance,Insurance,2025-01-16,42.78
Desjardins Insurance #820,Auto insurance Masonville,Insurance,2025-09-29,42.52
Desjardins Insurance,Monthly premium,Insurance,2025-10-04,194.5
RBC Insurance,Monthly Premium Downtown,Insurance,2025-09-15,161.55
Desjardins Insurance #679,policy payment online invoice #3068,Insurance,2025-02-19,94.43
Desjardins Insurance #589,Auto Insurance,Insurance,2025-07-25,178.31
Intact Insurance #419,Auto insurance Richmond St receipt #2051,Insurance,2025-03-23,186.95
RBC Insurance #124,Policy payment Store #214,Insurance,2025-08-06,46.36
Desjardins Insurance,Auto insurance,Insurance,2025-06-23,181.03
Desjardins Insurance,Auto Insurance Richmond St Student #6929,Insurance,2025-01-30,180.23
Porter Airlines,Flight booking Downtown,Travel,2025-02-07,581.8
VIA Rail,Flight Booking Richmond St Ref #6583,Travel,2025-09-05,464.06
VIA Rail #106,hotel deposit promo #5565,Travel,2025-09-12,459.95
Air Canada #661,Flight Booking,Travel,2025-02-28,567.59
Flair Airlines,Hotel deposit,Travel,2025-01-29,104.5
WestJet,Flight  Booking  Receipt #2511,Travel,2025-01-27,475.79
WestJet #140,flight  booking  branch  #1893,Travel,2025-02-28,288.22
Porter Airlines #258,Flight Booking London On Student #6305,Travel,2025-05-29,855.4
Air Canada #621,Baggage fee Richmond St,Travel,2025-08-20,790.73
Porter Airlines,Flight Booking Store #214,Travel,2025-02-13,566.12
VIA Rail,Baggage fee,Travel,2025-08-08,307.21
Flair Airlines,Flight booking,Travel,2025-03-29,226.1
Porter Airlines,Flight booking,Travel,2025-03-24,492.96
Expedia #572,Baggage  fee,Travel,2025-05-01,65.66
Porter Airlines,Flight booking txn #9406,Travel,2025-06-21,714.87
Porter Airlines,Train  ticket,Travel,2025-09-17,266.66
Expedia,hotel deposit,Travel,2025-06-25,464.31
VIA Rail,Baggage fee,Travel,2025-01-24,344.4
Expedia,Baggage fee Campus,Travel,2025-01-31,303.33
WestJet #199,Baggage Fee,Travel,2025-05-02,174.33
Memory Express,USB-C  cable,Electronics,2025-02-09,358.56
Apple Store,USB-C cable Richmond St,Electronics,2025-02-18,78.77
Canada Computers,Phone case Richmond St promo #6824,Electronics,2025-09-25,498.44
Apple Store,Headphones invoice #8658,Electronics,2025-09-25,222.33
Best Buy #541,usb-c cable online branch #9012,Electronics,2025-08-11,112.4
Memory Express #196,Laptop accessory invoice #2821,Electronics,2025-06-25,126.78
Apple Store,usb-c cable invoice #2634,Electronics,2025-05-22,338.73
Memory Express,Laptop accessory Downtown,Electronics,2025-09-14,378.94
Memory Express #775,headphones,Electronics,2025-06-19,341.67
Canada Computers #718,Headphones  branch  #9294,Electronics,2025-09-27,441.85
Canada Computers,USB-C  cable Campus,Electronics,2025-04-03,467.4
Best Buy,Headphones branch #8963,Electronics,2025-07-01,243.9
The Source,USB-C cable,Electronics,2025-04-29,224.95
Best Buy,Phone Case,Electronics,2025-06-02,104.38
Best Buy,USB-C cable txn #8655,Electronics,2025-07-26,116.33
Best Buy,headphones,Electronics,2025-04-13,253.24
Canada Computers #485,Headphones,Electronics,2025-05-20,163.56
Apple Store #869,Headphones receipt #9593,Electronics,2025-08-29,325.07
Memory Express,Headphones,Electronics,2025-07-27,223.04
The Source #290,Phone  case,Electronics,2025-02-20,371.76
Uniqlo #865,Seasonal jacket,Clothing,2025-02-04,250.41
Winners #840,seasonal jacket richmond st,Clothing,2025-07-05,12.46
Winners,seasonal jacket downtown promo #4486,Clothing,2025-06-13,326.98
Gap,Socks 3-pack,Clothing,2025-05-07,97.53
Uniqlo,Seasonal  jacket  Store #214 ref #5557,Clothing,2025-08-26,336.35
Uniqlo #444,Socks 3-pack promo #2795,Clothing,2025-01-29,165.3
Gap,Seasonal jacket branch #8161,Clothing,2025-09-21,276.92
Old Navy #791,Socks  3-pack  Richmond St,Clothing,2025-09-11,65.19
H&M,athleisure,Clothing,2025-03-21,208.76
Uniqlo,Seasonal jacket London ON,Clothing,2025-09-12,72.8
Uniqlo #173,Socks  3-pack ref #4814,Clothing,2025-09-01,138.06
Zara,Socks 3-pack student #3816,Clothing,2025-02-04,461.75
Zara #652,Seasonal jacket ref #5253,Clothing,2025-05-19,151.52
H&M,Socks 3-pack,Clothing,2025-06-14,328.87
H&M,T-shirt and jeans Richmond St,Clothing,2025-08-29,55.23
Old Navy,Seasonal jacket txn #1735,Clothing,2025-03-16,345.93
Gap,Athleisure,Clothing,2025-09-12,400.69
Old Navy #809,Socks 3-pack Richmond St receipt #1643,Clothing,2025-02-11,201.55
Uniqlo,Socks 3-pack Masonville,Clothing,2025-02-09,207.89
Winners,Socks 3-pack order #6756,Clothing,2025-02-28,312.5
Home Hardware,Light  bulbs  London  ON invoice #1428,Household,2025-09-18,249.49
Canadian Tire,Cleaning supplies Masonville txn #2576,Household,2025-06-05,44.43
Home Hardware,Kitchenware  Campus,Household,2025-03-26,365.43
Home Depot,Kitchenware  London ON,Household,2025-06-23,16.83
Home Hardware #759,home essentials txn #7482,Household,2025-07-30,59.79
IKEA,Light bulbs Campus,Household,2025-09-15,415.46
Bed Bath & Beyond,Cleaning  Supplies  Online  Ref #4286,Household,2025-03-07,219.75
IKEA,cleaning  supplies,Household,2025-01-31,119.94
Bed Bath & Beyond,Home essentials,Household,2025-08-07,397.99
Home Depot,Kitchenware London ON order #8854,Household,2025-03-05,435.58
Canadian Tire,Kitchenware  Richmond St,Household,2025-03-29,176.73
Home Depot #245,Home essentials promo #6038,Household,2025-07-22,56.92
Home Hardware,Light bulbs ref #7870,Household,2025-08-31,195.25
IKEA,Cleaning Supplies Online Order #5685,Household,2025-07-30,56.92
Home Hardware #761,Light  bulbs  Downtown,Household,2025-08-12,446.85
Canadian Tire,light bulbs downtown promo #3004,Household,2025-08-09,366.71
IKEA #856,Cleaning supplies branch #3545,Household,2025-03-10,470.88
IKEA,Cleaning supplies student #9097,Household,2025-06-16,494.36
Bed Bath & Beyond,Cleaning  supplies  txn  #6265,Household,2025-07-14,261.62
Home Hardware,Light bulbs,Household,2025-04-28,354.43
Green P Parking,all-day parking ref #3315,Parking,2025-01-29,113.94
Indigo Parking,Parking session,Parking,2025-05-31,127.49
City of London Parking,Evening Parking Downtown Txn #3805,Parking,2025-07-07,19.46
City of London Parking #822,parking session downtown,Parking,2025-05-20,17.44
Honkmobile #795,Parking Session Downtown Ref #6992,Parking,2025-01-13,95.45
City of London Parking,All-Day  Parking Campus Branch #7063,Parking,2025-10-04,91.89
Honkmobile,Evening parking branch #7739,Parking,2025-02-23,10.68
Indigo Parking,Evening Parking Campus Ref #1017,Parking,2025-02-05,16.4
City of London Parking,Evening parking Campus,Parking,2025-09-02,82.9
Green P Parking #106,Parking session Richmond St,Parking,2025-04-13,90.84
Green P Parking #140,evening  parking branch #9555,Parking,2025-08-01,78.53
Honkmobile,All-day parking branch #2464,Parking,2025-06-19,60.49
City of London Parking,All-day parking Store #214 invoice #6167,Parking,2025-07-15,62.47
Honkmobile,Evening Parking Masonville Invoice #9416,Parking,2025-09-12,44.74
Green P Parking,All-day parking,Parking,2025-05-31,5.57
Green P Parking #118,Parking Session Downtown Txn #7748,Parking,2025-08-07,42.26
Green P Parking,Evening parking,Parking,2025-03-09,139.12
Indigo Parking #226,all-day parking online,Parking,2025-06-19,46.36
Honkmobile,all-day parking downtown,Parking,2025-06-06,116.24
Indigo Parking,Evening  parking  order  #3631,Parking,2025-07-27,48.99
Udemy,textbook,Education,2025-08-29,111.52
Udemy,Exam fee,Education,2025-07-11,93.33
edX #295,course enrollment,Education,2025-06-23,92.9
edX #669,Exam fee,Education,2025-04-19,144.09
Udemy #160,textbook,Education,2025-07-25,37.33
Udemy,Cert prep student #3511,Education,2025-03-21,161.47
edX,Exam fee Online branch #8291,Education,2025-09-21,164.4
LinkedIn Learning,Course  enrollment  Masonville,Education,2025-02-03,165.25
LinkedIn Learning,Cert Prep London On,Education,2025-04-13,168.66
Western Bookstore #468,Course  enrollment,Education,2025-08-10,167.62
LinkedIn Learning,Course enrollment Campus txn #1226,Education,2025-05-03,174.26
edX #436,Cert  Prep  Online Student #9449,Education,2025-09-09,94.71
Udemy,Textbook  branch  #5828,Education,2025-06-12,176.12
Udemy #843,Cert  prep  Online,Education,2025-07-30,130.21
Western Bookstore,Course enrollment Masonville branch #6576,Education,2025-06-13,94.25
Udemy,Exam fee Campus invoice #8356,Education,2025-06-01,49.35
Udemy #247,cert  prep,Education,2025-08-18,109.52
LinkedIn Learning,Textbook Richmond St,Education,2025-03-23,145.74
Coursera,Exam  fee,Education,2025-05-01,209.66
LinkedIn Learning,textbook,Education,2025-08-10,145.48
